 Address ; RegName ; Clk ; Rst ; Port ; Public ; Signal ; BitPos ; Default ; SW(R/W) ; HW(W) ; MCU(W) ; MISC ; Description 
;;;;;; reg_fft_force_pu; [3] ; 1'h1 ; R/W ;;;;
;;;;;; reg_fft_force_pd; [2] ; 1'h0 ; R/W ;;;;
;;;;;; reg_dc_est_force_pu; [1] ; 1'h1 ; R/W ;;;;
;;;;;; reg_dc_est_force_pd; [0] ; 1'h0 ; R/W ;;;;
0x0058;BB_CCA_CTRL_0;pclk;reset_n;;;reg_cca_cnt_pri_car; [31] ; 1'h1 ; R/W ;;;;
;;;;;; reg_cca_cnt_sec_car; [30] ; 1'h0 ; R/W ;;;;
;;;;;; reg_cca_cnt_txrx; [29] ; 1'h0 ; R/W ;;;;
;;;;;; reg_cca_timer_clr; [28] ; 1'h0 ; WO ;;;;
;;;;;; reg_bb_timer_clr; [27] ; 1'h0 ; WO ;;;;
;;;;;; reg_bb_timer_max; [26:0] ; 27'h10000 ; R/W ;;;;
0x005c;BB_CCA_CTRL_1;pclk;reset_n;;;;[31:28];4'h0;RO;;;;
;;;;;; bb_timer_done; [27] ; 1'h0 ; RO ;;;;
;;;;;; bb_timer; [26:0] ; 27'h0 ; RO ;;;;
0x0060;BB_CCA_CTRL_2;pclk;reset_n;;;;[31:27];5'h0;RO;;;;
;;;;;; cca_cnt; [26:0] ; 27'h0 ; RO ;;;;
0x0064;BB_CCA_CTRL_3;pclk;reset_n;;;;[31:27];5'h0;RO;;;;
;;;;;; cca_sec_cnt; [26:0] ; 27'h0 ; RO ;;;;
0x0068; BB_NRXFDM_WDG; pclk; reset_n;;;; [31:29]; 3'h0; RO ;;;;
;;;;;; fdm_wdg_int; [28] ; 1'h0 ; RO ;;;;
;;;;;; fdm_wdg_int_cnt; [27:16]; 12'h0; RO ;;;;
;;;;;; reg_fdm_wdg_int_en; [15] ; 1'h0 ; R/W ;;;;
;;;;;; reg_fdm_wdg_int_cnt_clr; [14] ; 1'h0 ; WO ;;;;
;;;;;; reg_fdm_wdg_clr; [13] ; 1'h0 ; WO ;;;;
;;;;;; reg_fdm_wdg_rst_en; [12] ; 1'h1 ; R/W ;;;;
;;;;;; reg_fdm_wdg_en ; [11] ; 1'h1 ; R/W ;;;;
