Address;RegName;Clk;Rst;Port;Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description
;;;;Not;rxbeacon1_maintain_reach_int_ena;[10];1'h0;R/W;;;;
;;;;Not;rxbeacon0_maintain_reach_int_ena;[9];1'h0;R/W;;;;
;;;;Not;tsf0_reach_int_ena;[8];1'h0;R/W;;;;
;;;;Not;tsf1_reach_int_ena;[7];1'h0;R/W;;;;
;;;;Not;tsf2_reach_int_ena;[6];1'h0;R/W;;;;
;;;;Not;tsf3_reach_int_ena;[5];1'h0;R/W;;;;
;;;;Not;tbtt0_int_ena;[4];1'h0;R/W;;;;
;;;;Not;tbtt1_int_ena;[3];1'h0;R/W;;;;
;;;;Not;tbtt2_int_ena;[2];1'h0;R/W;;;;
;;;;Not;tbtt3_int_ena;[1];1'h0;R/W;;;;
;;;;Not;coex_timer_end_int_ena;[0];1'h0;R/W;;;;
0x01A8;INT_RAW_MACPWR;pclk;reset_n;;;[31:14];18'h0;RO;;;;
;;;;Not;mac_backup_dma_done_int_raw;[13];1'h0;R/W;mac_backup_done/1'b1;mac_backup_dma_done_int_clr/1'b0;;
;;;;Not;rxbeacon3_maintain_reach_int_raw;[12];1'h0;R/W;rxbeacon3_maintain_reach_int/1'b1;rxbeacon3_maintain_reach_int_clr/1'b0;;
;;;;Not;rxbeacon2_maintain_reach_int_raw;[11];1'h0;R/W;rxbeacon2_maintain_reach_int/1'b1;rxbeacon2_maintain_reach_int_clr/1'b0;;
;;;;Not;rxbeacon1_maintain_reach_int_raw;[10];1'h0;R/W;rxbeacon1_maintain_reach_int/1'b1;rxbeacon1_maintain_reach_int_clr/1'b0;;
;;;;Not;rxbeacon0_maintain_reach_int_raw;[9];1'h0;R/W;rxbeacon0_maintain_reach_int/1'b1;rxbeacon0_maintain_reach_int_clr/1'b0;;
;;;;Not;tsf0_reach_int_raw;[8];1'h0;R/W;tsf0_reach_int/1'b1;tsf0_reach_int_clr/1'b0;;
;;;;Not;tsf1_reach_int_raw;[7];1'h0;R/W;tsf1_reach_int/1'b1;tsf1_reach_int_clr/1'b0;;
;;;;Not;tsf2_reach_int_raw;[6];1'h0;R/W;tsf2_reach_int/1'b1;tsf2_reach_int_clr/1'b0;;
;;;;Not;tsf3_reach_int_raw;[5];1'h0;R/W;tsf3_reach_int/1'b1;tsf3_reach_int_clr/1'b0;;
;;;;Not;tbtt0_int_raw;[4];1'h0;R/W;tbtt0_int/1'b1;tbtt0_int_clr/1'b0;;
;;;;Not;tbtt1_int_raw;[3];1'h0;R/W;tbtt1_int/1'b1;tbtt1_int_clr/1'b0;;
;;;;Not;tbtt2_int_raw;[2];1'h0;R/W;tbtt2_int/1'b1;tbtt2_int_clr/1'b0;;
;;;;Not;tbtt3_int_raw;[1];1'h0;R/W;tbtt3_int/1'b1;tbtt3_int_clr/1'b0;;
;;;;Not;coex_timer_end_int_raw;[0];1'h0;R/W;coex_timer_end_int/1'b1;coex_timer_end_int_clr/1'b0;;
0x01AC;INT_ST_MACPWR;pclk;reset_n;;;[31:14];18'h0;RO;;;INT_ST;
;;;;Not;mac_backup_dma_done_int_st;[13];1'h0;RO;;;;
;;;;Not;rxbeacon3_maintain_reach_int_st;[12];1'h0;RO;;;;
;;;;Not;rxbeacon2_maintain_reach_int_st;[11];1'h0;RO;;;;
;;;;Not;rxbeacon1_maintain_reach_int_st;[10];1'h0;RO;;;;
;;;;Not;rxbeacon0_maintain_reach_int_st;[9];1'h0;RO;;;;
;;;;Not;tsf0_reach_int_st;[8];1'h0;RO;;;;
;;;;Not;tsf1_reach_int_st;[7];1'h0;RO;;;;
;;;;Not;tsf2_reach_int_st;[6];1'h0;RO;;;;
;;;;Not;tsf3_reach_int_st;[5];1'h0;RO;;;;
;;;;Not;tbtt0_int_st;[4];1'h0;RO;;;;
;;;;Not;tbtt1_int_st;[3];1'h0;RO;;;;
;;;;Not;tbtt2_int_st;[2];1'h0;RO;;;;
;;;;Not;tbtt3_int_st;[1];1'h0;RO;;;;
;;;;Not;coex_timer_end_int_st;[0];1'h0;RO;;;;
0x01B0;INT_CLR_MACPWR;pclk;reset_n;;;[31:14];18'h0;RO;;;;
;;;;Not;mac_backup_dma_done_int_clr;[13];1'h0;WO;;;;
;;;;Not;rxbeacon3_maintain_reach_int_clr;[12];1'h0;WO;;;;
;;;;Not;rxbeacon2_maintain_reach_int_clr;[11];1'h0;WO;;;;
;;;;Not;rxbeacon1_maintain_reach_int_clr;[10];1'h0;WO;;;;
;;;;Not;rxbeacon0_maintain_reach_int_clr;[9];1'h0;WO;;;;
;;;;Not;tsf0_reach_int_clr;[8];1'h0;WO;;;;
;;;;Not;tsf1_reach_int_clr;[7];1'h0;WO;;;;
;;;;Not;tsf2_reach_int_clr;[6];1'h0;WO;;;;
;;;;Not;tsf3_reach_int_clr;[5];1'h0;WO;;;;
;;;;Not;tbtt0_int_clr;[4];1'h0;WO;;;;
;;;;Not;tbtt1_int_clr;[3];1'h0;WO;;;;
;;;;Not;tbtt2_int_clr;[2];1'h0;WO;;;;
;;;;Not;tbtt3_int_clr;[1];1'h0;WO;;;;
;;;;Not;coex_timer_end_int_clr;[0];1'h0;WO;;;;
0x01B4;MACCO_EXTERN_CONF0;pclk;reset_n;;reg_extern_in0_pti;[31:28];4'h0;R/W;;;;
;;;;;reg_extern_in1_pti;[27:24];4'h0;R/W;;;;
;;;;;reg_extern_in2_pti;[23:20];4'h0;R/W;;;;
;;;;;reg_extern_in3_pti;[19:16];4'h0;R/W;;;;
;;;;;reg_extern_out0_pti;[15:12];4'h0;R/W;;;;
;;;;;reg_extern_out1_pti;[11:8];4'h0;R/W;;;;
;;;;;reg_extern_out2_pti;[7:4];4'h0;R/W;;;;
;;;;;reg_extern_out3_pti;[3:0];4'h0;R/W;;;;
0x01B8;MACCO_EXTERN_CONF1;pclk;reset_n;;;[31:1];30'h0;RO;;;;
;;;;;reg_extern_ant_follow_wlan;[0];1'h0;R/W;;;;
0x01BC;MAC_BACKUP_DMA_CONF;pclk;reset_n;;reg_mac_backup_dma_en;[31];1'b0;R/W;;;;
;;;;;reg_mac_backup_start;[30];1'b0;WO;;;;
;;;;;reg_mac_backup_write;[29];1'b0;R/W;;;;
;;;;;;[28:23];6'h0;RO;;;;
;;;;;reg_mac_backup_mem_base_addr;[22:11];12'h3fc;R/W;;;;
;;;;;reg_mac_backup_reg_start_addr;[10:0];11'h0;R/W;;;;
0x01C0;MAC_BACKUP_DMA_ADDR;pclk;reset_n;;;[31];1'b0;RO;;;;
;;;;;reg_mac_backup_mem_start_addr;[30:11];20'b0;R/W;;;;
;;;;;reg_mac_backup_size;[10:0];11'b0;R/W;;;;
0x01C4;MAC_BACKUP_DMA_DEBUG;pclk;reset_n;;reg_mac_backup_debug;[31:0];32'b0;RO;;;;
0x03F8;MACPWRDATE;pclk;reset_n;;;[31:28];4'h0;RO;;;;
;;;;;reg_macpwr_date;[27:0];28'h1906140;R/W;;;;
