Address;RegName;Clk;Rst;Port;Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description
0x00A8;MACTBTTTAR2_HI;pclk;reset_n;;reg_tbttstart_target2_hi;[31:0];32'h0;R/W;;;IO=O,hwr_mactbtttar2_hi;
0x00AC;MACWAKETAR2_LO;pclk;reset_n;;reg_wakeup_target2_lo;[31:0];32'h0;R/W;;;;unit:us
0x00B0;MACWAKETAR2_HI;pclk;reset_n;;reg_wakeup_target2_hi;[31:0];32'h0;R/W;;;;unit:us
0x00B4;MACBEACTAR2_LO;pclk;reset_n;;reg_beacstart_target2_lo;[31:0];32'h0;R/W;;;IO=O,hwr_macbeactar2_lo;
0x00B8;MACBEACTAR2_HI;pclk;reset_n;;reg_beacstart_target2_hi;[31:0];32'h0;R/W;;;IO=O,hwr_macbeactar2_hi;
0x00BC;MACBEATAR2_LO;pclk;reset_n;;reg_beacon_target2_lo;[31:0];32'h0;R/W;;;;unit:us
0x00C0;MACBEATAR2_HI;pclk;reset_n;;reg_beacon_target2_hi;[31:0];32'h0;R/W;;;;unit:us
0x00C4;MACBEAINTER2;pclk;reset_n;;reg_tbtt2_early_time;[31:16];16'h0;R/W;;;;us
;;;;;reg_tbtt2;[15:0];16'h64;R/W;;;;unit:TU/default:100TU
0x00C8;MACLISINTER2;pclk;reset_n;;reg_listen_interval2_tu;[31:0];32'h12C;R/W;;;;unit:TU/default:3*100TU
0x00CC;MACTSF3_TIME_LO;pclk;reset_n;;tsftime3_lo;[31:0];32'h0;RO;;;;
0x00D0;MACTSF3_TIME_HI;pclk;reset_n;;tsftime3_hi;[31:0];32'h0;RO;;;;
0x00D4;MACSLEEP3_CONF;pclk;reset_n;;reg_tsfup3_ena;[31];1'h0;R/W;;;;
;;;;;reg_txbeacon3_ena;[30];1'h0;R/W;;;;
;;;;;reg_wakeup3_ena;[29];1'h0;R/W;;;;
;;;;;reg_tsf3rtcup_ena;[28];1'h0;R/W;;;;
;;;;;reg_tsf3hwup_ena;[27];1'h0;R/W;;;;
;;;;;reg_wakeup_target3_valid;[26];1'h0;R/W;;;;
;;;;;reg_beacon_target3_valid;[25];1'h0;R/W;;;;
;;;;;reg_beacon_target3_upbytsf;[24];1'h0;R/W;;;;
;;;;;;[23:0];24'h0;RO;;;;
0x00D8;MACTSFSW3_LO;pclk;reset_n;;reg_tsfupsw3_lo;[31:0];32'h0;R/W;;;IO=O,hwr_mactsfsw3_lo;
0x00DC;MACTSFSW3_HI;pclk;reset_n;;reg_tsfupsw3_hi;[31:0];32'h0;R/W;;;IO=O,hwr_mactsfsw3_hi;
0x00E0;MACTBTTTAR3_LO;pclk;reset_n;;reg_tbttstart_target3_lo;[31:0];32'h0;R/W;;;IO=O,hwr_mactbtttar3_lo;
0x00E4;MACTBTTTAR3_HI;pclk;reset_n;;reg_tbttstart_target3_hi;[31:0];32'h0;R/W;;;IO=O,hwr_mactbtttar3_hi;
0x00E8;MACWAKETAR3_LO;pclk;reset_n;;reg_wakeup_target3_lo;[31:0];32'h0;R/W;;;;unit:us
0x00EC;MACWAKETAR3_HI;pclk;reset_n;;reg_wakeup_target3_hi;[31:0];32'h0;R/W;;;;unit:us
0x00F0;MACBEACTAR3_LO;pclk;reset_n;;reg_beacstart_target3_lo;[31:0];32'h0;R/W;;;IO=O,hwr_macbeactar3_lo;
0x00F4;MACBEACTAR3_HI;pclk;reset_n;;reg_beacstart_target3_hi;[31:0];32'h0;R/W;;;IO=O,hwr_macbeactar3_hi;
0x00F8;MACBEATAR3_LO;pclk;reset_n;;reg_beacon_target3_lo;[31:0];32'h0;R/W;;;;unit:us
0x00FC;MACBEATAR3_HI;pclk;reset_n;;reg_beacon_target3_hi;[31:0];32'h0;R/W;;;;unit:us
0x0100;MACBEAINTER3;pclk;reset_n;;reg_tbtt3_early_time;[31:16];16'h0;R/W;;;;
;;;;;reg_tbtt3;[15:0];16'h64;R/W;;;;unit:TU/default:100TU
0x0104;MACLISINTER3;pclk;reset_n;;reg_listen_interval3_tu;[31:0];32'h12C;R/W;;;;unit:TU/default:3*100TU
0x0108;MACRTC_CALI;pclk;reset_n;;reg_rtccali_auto_ena;[31];1'h0;R/W;;;;
;;;;;reg_rtccali_start;[30];1'h0;WO;;;;
;;;;;;[29:13];17'h0;RO;;;;
;;;;;reg_rtccali_max;[12:0];13'h20;R/W;;;;
0x010C;MACRTC_CALIVALUE;pclk;reset_n;;rtccali_rdy;[31];1'h0;RO;;;;
;;;;;;[30:24];7'h0;RO;;;;
;;;;;cali_value;[23:0];24'h0;RO;;;;
0x0110;MACRTC_CALISW;pclk;reset_n;;reg_calisw_ena;[31];1'h1;R/W;;;;
;;;;;;[30:18];13'h0;RO;;;;
;;;;;reg_calisw_value;[17:0];18'h0;R/W;;;;
0x0114;MACTSF0TIMER_ENA;pclk;reset_n;;reg_tsf0timer_ena;[31];1'h0;R/W;tsf0_reach_int/1'b0;;;
;;;;;reg_tsf0timer_wakeup_ena;[30];1'h0;R/W;;;;
;;;;;;[29:16];14'h0;RO;;;;
;;;;;;[15:0];16'h0;RO;;;;
0x0118;MACTSF0_TIMER_LO;pclk;reset_n;;reg_tsf0timer_lo;[31:0];32'h0;R/W;;;;
0x011C;MACTSF0_TIMER_HI;pclk;reset_n;;reg_tsf0timer_hi;[31:0];32'h0;R/W;;;;
0x0120;MACTSF1TIMER_ENA;pclk;reset_n;;reg_tsf1timer_ena;[31];1'h0;R/W;tsf1_reach_int/1'b0;;;
;;;;;reg_tsf1timer_wakeup_ena;[30];1'h0;R/W;;;;
