Address;RegName;Clk;Rst;Port ; Public ; Signal;BitPos;Default;SW(R/W);Comment;HW(W);MCU(W);MISC;Description
;;;;;;GPIO_PIN13_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
0x00c0;GPIO_PIN14;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN14_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN14_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN14_WAKEUP_ENABLE;[10];x;R/W;;;;;
;;;;;;GPIO_PIN14_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN14_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
0x00c4;GPIO_PIN15;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN15_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN15_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN15_WAKEUP_ENABLE;[10];x;R/W;;;;;
;;;;;;GPIO_PIN15_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN15_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
0x00c8;GPIO_PIN16;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN16_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN16_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN16_WAKEUP_ENABLE;[10];x;R/W;;;;;
;;;;;;GPIO_PIN16_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN16_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
0x00cc;GPIO_PIN17;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN17_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN17_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN17_WAKEUP_ENABLE;[10];x;R/W;;;;;
;;;;;;GPIO_PIN17_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN17_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
0x00d0;GPIO_PIN18;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN18_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN18_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN18_WAKEUP_ENABLE;[10];x;R/W;;;;;
;;;;;;GPIO_PIN18_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN18_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
0x00d4;GPIO_PIN19;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN19_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN19_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN19_WAKEUP_ENABLE;[10];x;R/W;;;;;
;;;;;;GPIO_PIN19_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN19_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
0x00d8;GPIO_PIN20;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN20_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN20_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN20_WAKEUP_ENABLE;[10];x;R/W;;;;;
;;;;;;GPIO_PIN20_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN20_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
0x00dc;GPIO_PIN21;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN21_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN21_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN21_WAKEUP_ENABLE;[10];x;R/W;;;;;
;;;;;;GPIO_PIN21_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN21_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
0x00e0;GPIO_PIN22;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN22_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN22_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN22_WAKEUP_ENABLE;[10];x;R/W;;;;;
;;;;;;GPIO_PIN22_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN22_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
0x00e4;GPIO_PIN23;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN23_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN23_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN23_WAKEUP_ENABLE;[10];x;R/W;;;;;
;;;;;;GPIO_PIN23_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN23_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
0x00e8;GPIO_PIN24;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN24_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN24_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN24_WAKEUP_ENABLE;[10];x;R/W;;;;;
;;;;;;GPIO_PIN24_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN24_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
0x00ec;GPIO_PIN25;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN25_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN25_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN25_WAKEUP_ENABLE;[10];x;R/W;;;;;
;;;;;;GPIO_PIN25_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN25_PAD_DRIVER;[2];x;R/W;;;;;
