#sample iq, sample i, sample q, rx_gain, rx_err, agc_st, adc_data, lna_sat, vga_sat,1
676322,-364,482,0,0,0,0xa51e2,0,0,0
676322,-364,482,0,0,0,0xa51e2,0,0,0
674274,-366,482,0,0,0,0xa49e2,0,0,0
671202,-369,482,0,0,0,0xa3de2,0,0,0
671202,-369,482,0,0,0,0xa3de2,0,0,0
667106,-373,482,0,0,0,0xa2de2,0,0,0
664034,-376,482,0,0,0,0xa21e2,0,0,0
659938,-380,482,0,0,0,0xa11e2,0,0,0
658914,-381,482,0,0,0,0xa0de2,0,0,0
656866,-383,482,0,0,0,0xa05e2,0,0,0
652770,-387,482,0,0,0,0x9f5e2,0,0,0
652770,-387,482,0,0,0,0x9f5e2,0,0,0
649698,-390,482,0,0,0,0x9e9e2,0,0,0
645602,-394,482,0,0,0,0x9d9e2,0,0,0
642530,-397,482,0,0,0,0x9cde2,0,0,0
640482,-399,482,0,0,0,0x9c5e2,0,0,0
640482,-399,482,0,0,0,0x9c5e2,0,0,0
637410,-402,482,0,0,0,0x9b9e2,0,0,0
633314,-406,482,0,0,0,0x9a9e2,0,0,0
632290,-407,482,0,0,0,0x9a5e2,0,0,0
630242,-409,482,0,0,0,0x99de2,0,0,0
626146,-413,482,0,0,0,0x98de2,0,0,0
625122,-414,482,0,0,0,0x989e2,0,0,0
623074,-416,482,0,0,0,0x981e2,0,0,0
623074,-416,482,0,0,0,0x981e2,0,0,0
617954,-421,482,0,0,0,0x96de2,0,0,0
617954,-421,482,0,0,0,0x96de2,0,0,0
613858,-425,482,0,0,0,0x95de2,0,0,0
610786,-428,482,0,0,0,0x951e2,0,0,0
610786,-428,482,0,0,0,0x951e2,0,0,0
606690,-432,482,0,0,0,0x941e2,0,0,0
605666,-433,482,0,0,0,0x93de2,0,0,0
603618,-435,482,0,0,0,0x935e2,0,0,0
599522,-439,482,0,0,0,0x925e2,0,0,0
598498,-440,482,0,0,0,0x921e2,0,0,0
596450,-442,482,0,0,0,0x919e2,0,0,0
592354,-446,482,0,0,0,0x909e2,0,0,0
589282,-449,482,0,0,0,0x8fde2,0,0,0
587234,-451,482,0,0,0,0x8f5e2,0,0,0
585186,-453,482,0,0,0,0x8ede2,0,0,0
582114,-456,482,0,0,0,0x8e1e2,0,0,0
580066,-458,482,0,0,0,0x8d9e2,0,0,0
576994,-461,482,0,0,0,0x8cde2,0,0,0
574946,-463,482,0,0,0,0x8c5e2,0,0,0
572898,-465,482,0,0,0,0x8bde2,0,0,0
572898,-465,482,0,0,0,0x8bde2,0,0,0
571874,-466,482,0,0,0,0x8b9e2,0,0,0
571874,-466,482,0,0,0,0x8b9e2,0,0,0
571874,-466,482,0,0,0,0x8b9e2,0,0,0
569826,-468,482,0,0,0,0x8b1e2,0,0,0
565730,-472,482,0,0,0,0x8a1e2,0,0,0
562658,-475,482,0,0,0,0x895e2,0,0,0
560610,-477,482,0,0,0,0x88de2,0,0,0
560610,-477,482,0,0,0,0x88de2,0,0,0
557538,-480,482,0,0,0,0x881e2,0,0,0
557538,-480,482,0,0,0,0x881e2,0,0,0
553442,-484,482,0,0,0,0x871e2,0,0,0
550370,-487,482,0,0,0,0x865e2,0,0,0
546274,-491,482,0,0,0,0x855e2,0,0,0
546274,-491,482,0,0,0,0x855e2,0,0,0
543202,-494,482,0,0,0,0x849e2,0,0,0
543202,-494,482,0,0,0,0x849e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
541154,-496,482,0,0,0,0x841e2,0,0,0
